ImageId,Label
1,2
2,0
3,8
4,0
5,0
6,7
7,0
8,3
9,0
10,3
11,5
12,7
13,0
14,0
15,4
16,0
17,0
18,1
19,9
20,0
21,9
22,1
23,8
24,5
25,7
26,4
27,2
28,0
29,7
30,7
31,7
32,0
33,4
34,2
35,6
36,0
37,5
38,0
39,0
40,6
41,7
42,7
43,4
44,9
45,0
46,7
47,0
48,0
49,6
50,0
51,6
52,8
53,8
54,3
55,0
56,2
57,1
58,0
59,0
60,0
61,5
62,1
63,7
64,0
65,0
66,0
67,1
68,0
69,0
70,1
71,6
72,5
73,0
74,8
75,2
76,0
77,0
78,9
79,2
80,0
81,5
82,0
83,1
84,0
85,9
86,2
87,4
88,3
89,6
90,7
91,2
92,0
93,6
94,6
95,0
96,0
97,3
98,0
99,7
100,4
101,0
102,3
103,2
104,0
105,7
106,0
107,0
108,5
109,0
110,0
111,0
112,0
113,0
114,3
115,1
116,0
117,1
118,1
119,0
120,3
121,3
122,7
123,0
124,0
125,6
126,3
127,0
128,7
129,8
130,4
131,3
132,5
133,0
134,0
135,0
136,0
137,3
138,1
139,3
140,6
141,0
142,3
143,4
144,5
145,0
146,0
147,7
148,0
149,2
150,0
151,4
152,3
153,5
154,0
155,5
156,2
157,7
158,0
159,7
160,0
161,3
162,0
163,4
164,5
165,1
166,0
167,7
168,6
169,3
170,0
171,0
172,7
173,0
174,6
175,1
176,3
177,7
178,0
179,1
180,2
181,4
182,0
183,5
184,2
185,4
186,0
187,2
188,1
189,6
190,0
191,6
192,1
193,4
194,0
195,6
196,0
197,9
198,7
199,0
200,9
201,1
202,9
203,0
204,0
205,9
206,0
207,0
208,0
209,0
210,2
211,0
212,9
213,3
214,0
215,9
216,2
217,1
218,6
219,3
220,4
221,2
222,3
223,1
224,0
225,2
226,0
227,4
228,6
229,1
230,0
231,0
232,4
233,9
234,1
235,0
236,0
237,0
238,3
239,8
240,6
241,8
242,6
243,2
244,0
245,5
246,5
247,4
248,0
249,0
250,0
251,9
252,0
253,1
254,3
255,0
256,4
257,5
258,1
259,4
260,0
261,0
262,0
263,3
264,5
265,7
266,0
267,6
268,8
269,6
270,1
271,0
272,0
273,6
274,3
275,9
276,0
277,1
278,5
279,8
280,4
281,0
282,9
283,2
284,0
285,0
286,3
287,7
288,0
289,9
290,9
291,5
292,0
293,7
294,9
295,0
296,6
297,3
298,0
299,0
300,3
301,6
302,9
303,8
304,2
305,6
306,0
307,7
308,1
309,4
310,5
311,0
312,0
313,4
314,0
315,0
316,3
317,0
318,0
319,1
320,8
321,0
322,1
323,1
324,0
325,8
326,4
327,5
328,1
329,5
330,3
331,6
332,3
333,1
334,0
335,0
336,0
337,0
338,0
339,6
340,0
341,6
342,0
343,1
344,0
345,0
346,0
347,6
348,0
349,2
350,0
351,6
352,7
353,7
354,2
355,5
356,8
357,0
358,9
359,0
360,0
361,0
362,6
363,0
364,8
365,0
366,2
367,3
368,2
369,1
370,0
371,4
372,0
373,0
374,9
375,7
376,6
377,0
378,5
379,3
380,7
381,6
382,5
383,5
384,9
385,2
386,6
387,2
388,1
389,3
390,7
391,1
392,7
393,0
394,9
395,6
396,1
397,1
398,1
399,7
400,3
401,9
402,7
403,6
404,1
405,1
406,1
407,0
408,3
409,0
410,5
411,5
412,0
413,4
414,1
415,0
416,3
417,1
418,1
419,3
420,5
421,0
422,0
423,6
424,0
425,3
426,1
427,4
428,7
429,7
430,7
431,4
432,8
433,0
434,0
435,0
436,1
437,0
438,9
439,5
440,0
441,8
442,4
443,7
444,4
445,0
446,4
447,1
448,0
449,3
450,9
451,0
452,7
453,6
454,9
455,5
456,0
457,2
458,3
459,0
460,0
461,1
462,7
463,5
464,0
465,0
466,1
467,7
468,4
469,0
470,1
471,1
472,4
473,0
474,5
475,0
476,0
477,0
478,0
479,1
480,0
481,4
482,0
483,0
484,2
485,7
486,9
487,4
488,0
489,3
490,7
491,0
492,4
493,2
494,4
495,2
496,7
497,0
498,3
499,2
500,0
501,6
502,5
503,0
504,0
505,0
506,0
507,0
508,3
509,0
510,6
511,7
512,8
513,8
514,7
515,8
516,3
517,0
518,7
519,0
520,3
521,0
522,9
523,0
524,7
525,0
526,1
527,0
528,1
529,1
530,7
531,0
532,0
533,3
534,8
535,0
536,5
537,0
538,5
539,0
540,3
541,0
542,2
543,8
544,2
545,0
546,3
547,0
548,9
549,2
550,1
551,1
552,3
553,0
554,5
555,0
556,0
557,7
558,5
559,6
560,2
561,0
562,3
563,0
564,1
565,0
566,5
567,4
568,1
569,1
570,0
571,0
572,5
573,0
574,6
575,0
576,0
577,0
578,0
579,4
580,2
581,5
582,1
583,0
584,6
585,7
586,1
587,7
588,0
589,8
590,0
591,8
592,0
593,0
594,5
595,0
596,6
597,0
598,6
599,0
600,3
601,0
602,1
603,7
604,1
605,0
606,0
607,8
608,5
609,6
610,4
611,7
612,4
613,3
614,3
615,0
616,4
617,7
618,0
619,0
620,0
621,8
622,5
623,9
624,0
625,0
626,8
627,0
628,0
629,6
630,0
631,6
632,1
633,8
634,6
635,1
636,4
637,7
638,7
639,8
640,3
641,0
642,9
643,9
644,0
645,0
646,7
647,0
648,4
649,1
650,0
651,9
652,0
653,0
654,0
655,0
656,2
657,4
658,3
659,0
660,7
661,2
662,3
663,4
664,0
665,0
666,0
667,1
668,3
669,3
670,6
671,3
672,9
673,4
674,3
675,0
676,7
677,7
678,0
679,6
680,0
681,6
682,9
683,8
684,1
685,1
686,3
687,0
688,6
689,9
690,9
691,2
692,6
693,0
694,1
695,0
696,4
697,3
698,9
699,8
700,8
701,4
702,0
703,0
704,0
705,6
706,0
707,0
708,4
709,6
710,0
711,0
712,0
713,1
714,5
715,0
716,6
717,0
718,3
719,7
720,0
721,9
722,3
723,0
724,0
725,1
726,0
727,0
728,4
729,0
730,0
731,7
732,1
733,3
734,0
735,0
736,7
737,1
738,0
739,0
740,5
741,0
742,0
743,0
744,4
745,3
746,9
747,0
748,7
749,0
750,6
751,0
752,9
753,4
754,4
755,0
756,4
757,7
758,1
759,1
760,0
761,0
762,0
763,4
764,0
765,4
766,0
767,0
768,0
769,1
770,8
771,0
772,5
773,0
774,0
775,0
776,3
777,4
778,6
779,3
780,1
781,1
782,0
783,0
784,8
785,3
786,5
787,5
788,4
789,0
790,0
791,5
792,0
793,4
794,0
795,4
796,3
797,1
798,6
799,9
800,7
801,1
802,1
803,3
804,3
805,1
806,4
807,0
808,6
809,0
810,1
811,5
812,8
813,0
814,0
815,0
816,4
817,0
818,9
819,7
820,4
821,3
822,0
823,0
824,0
825,1
826,9
827,0
828,4
829,0
830,0
831,0
832,0
833,5
834,9
835,3
836,9
837,6
838,1
839,5
840,6
841,0
842,9
843,0
844,8
845,0
846,0
847,7
848,2
849,0
850,5
851,0
852,9
853,0
854,7
855,2
856,0
857,1
858,3
859,0
860,5
861,0
862,0
863,1
864,4
865,2
866,3
867,6
868,9
869,2
870,3
871,0
872,5
873,4
874,2
875,0
876,3
877,1
878,1
879,0
880,1
881,4
882,0
883,0
884,0
885,2
886,7
887,1
888,5
889,4
890,9
891,1
892,7
893,6
894,0
895,4
896,2
897,9
898,0
899,1
900,1
901,5
902,0
903,5
904,7
905,9
906,0
907,8
908,3
909,2
910,7
911,2
912,0
913,4
914,7
915,0
916,0
917,4
918,0
919,1
920,0
921,7
922,3
923,0
924,0
925,4
926,7
927,9
928,6
929,6
930,3
931,3
932,2
933,1
934,4
935,0
936,3
937,7
938,7
939,9
940,5
941,6
942,0
943,6
944,1
945,0
946,9
947,3
948,2
949,0
950,2
951,6
952,0
953,5
954,2
955,3
956,2
957,0
958,3
959,0
960,2
961,7
962,0
963,4
964,0
965,0
966,5
967,1
968,8
969,0
970,0
971,3
972,2
973,0
974,6
975,7
976,0
977,8
978,0
979,7
980,4
981,5
982,8
983,7
984,0
985,7
986,7
987,0
988,5
989,3
990,2
991,1
992,9
993,0
994,6
995,0
996,3
997,6
998,2
999,2
1000,9
1001,0
1002,0
1003,0
1004,7
1005,1
1006,3
1007,4
1008,0
1009,3
1010,9
1011,2
1012,6
1013,3
1014,7
1015,0
1016,7
1017,2
1018,3
1019,4
1020,0
1021,0
1022,9
1023,9
1024,6
1025,2
1026,6
1027,1
1028,5
1029,5
1030,1
1031,9
1032,1
1033,8
1034,9
1035,4
1036,0
1037,0
1038,5
1039,0
1040,0
1041,1
1042,6
1043,1
1044,9
1045,0
1046,2
1047,0
1048,7
1049,0
1050,6
1051,2
1052,6
1053,3
1054,5
1055,9
1056,1
1057,1
1058,3
1059,0
1060,0
1061,0
1062,0
1063,6
1064,0
1065,9
1066,0
1067,7
1068,0
1069,5
1070,0
1071,0
1072,0
1073,7
1074,6
1075,9
1076,2
1077,6
1078,1
1079,0
1080,9
1081,3
1082,0
1083,0
1084,0
1085,7
1086,7
1087,6
1088,0
1089,3
1090,1
1091,3
1092,1
1093,0
1094,1
1095,7
1096,6
1097,0
1098,3
1099,0
1100,3
1101,4
1102,2
1103,0
1104,1
1105,8
1106,2
1107,0
1108,0
1109,4
1110,6
1111,7
1112,2
1113,0
1114,1
1115,0
1116,5
1117,2
1118,6
1119,6
1120,0
1121,0
1122,0
1123,0
1124,1
1125,6
1126,3
1127,0
1128,6
1129,1
1130,2
1131,5
1132,0
1133,8
1134,0
1135,3
1136,0
1137,8
1138,3
1139,0
1140,7
1141,0
1142,0
1143,2
1144,1
1145,2
1146,8
1147,4
1148,0
1149,5
1150,0
1151,6
1152,7
1153,8
1154,4
1155,0
1156,4
1157,4
1158,1
1159,0
1160,0
1161,9
1162,1
1163,0
1164,0
1165,6
1166,4
1167,0
1168,2
1169,4
1170,5
1171,8
1172,2
1173,9
1174,1
1175,8
1176,0
1177,0
1178,7
1179,2
1180,5
1181,3
1182,0
1183,0
1184,0
1185,0
1186,7
1187,0
1188,3
1189,0
1190,0
1191,7
1192,0
1193,3
1194,8
1195,0
1196,0
1197,3
1198,0
1199,0
1200,4
1201,0
1202,0
1203,3
1204,0
1205,1
1206,7
1207,0
1208,6
1209,4
1210,0
1211,0
1212,0
1213,0
1214,4
1215,5
1216,0
1217,0
1218,7
